id,available_rooms,listing_id,price,room_type,total_rooms
...,1,...,4050.00,SINGLE,1
...,20,...,2180.00,SINGLE,20
...,15,...,3680.00,DOUBLE,15
...,5,...,7180.00,SUITE,5
...,20,...,4000.00,SINGLE,20
...,15,...,5500.00,DOUBLE,15
...,5,...,9000.00,SUITE,5
...,20,...,3540.00,SINGLE,20
...,15,...,5040.00,DOUBLE,15
...,5,...,8540.00,SUITE,5
...,1,...,2150.00,DOUBLE,1
...,1,...,4850.00,DOUBLE,1
...,20,...,2250.00,SINGLE,20
...,15,...,3750.00,DOUBLE,15
...,5,...,7250.00,SUITE,5
...,20,...,2850.00,SINGLE,20
...,15,...,4350.00,DOUBLE,15
...,5,...,7850.00,SUITE,5
...,20,...,3700.00,SINGLE,20
...,15,...,5200.00,DOUBLE,15
...,5,...,8700.00,SUITE,5
...,20,...,2400.00,SINGLE,20
...,15,...,3900.00,DOUBLE,15
...,5,...,7400.00,SUITE,5
...,20,...,2200.00,SINGLE,20
...,15,...,3700.00,DOUBLE,15
...,5,...,7200.00,SUITE,5
...,20,...,2000.00,SINGLE,20
...,15,...,3500.00,DOUBLE,15
...,5,...,7000.00,SUITE,5
...,20,...,5000.00,SINGLE,20
...,15,...,6500.00,DOUBLE,15
...,5,...,10000.00,SUITE,5
...,20,...,6200.00,SINGLE,20
...,15,...,7700.00,DOUBLE,15
...,5,...,11200.00,SUITE,5
...,20,...,2900.00,SINGLE,20
...,15,...,4400.00,DOUBLE,15
...,5,...,7900.00,SUITE,5
...,20,...,2040.00,SINGLE,20
...,15,...,3540.00,DOUBLE,15
...,5,...,7040.00,SUITE,5
...,20,...,2800.00,SINGLE,20
...,15,...,4300.00,DOUBLE,15
...,5,...,7800.00,SUITE,5
...,20,...,2240.00,SINGLE,20
...,15,...,3740.00,DOUBLE,15
...,5,...,7240.00,SUITE,5
...,20,...,2167.00,SINGLE,20
...,15,...,3667.00,DOUBLE,15
...,5,...,7167.00,SUITE,5
...,20,...,3000.00,SINGLE,20
...,15,...,4500.00,DOUBLE,15
...,5,...,8000.00,SUITE,5
...,20,...,2450.00,SINGLE,20
...,15,...,3950.00,DOUBLE,15
...,5,...,7450.00,SUITE,5
...,20,...,5000.00,SINGLE,20
...,15,...,6500.00,DOUBLE,15
...,5,...,10000.00,SUITE,5
...,20,...,3600.00,SINGLE,20
...,15,...,5100.00,DOUBLE,15
...,5,...,8600.00,SUITE,5
...,1,...,3824.00,SINGLE,1
...,20,...,2800.00,SINGLE,20
...,15,...,4300.00,DOUBLE,15
...,5,...,7800.00,SUITE,5
...,20,...,3220.00,SINGLE,20
...,15,...,4720.00,DOUBLE,15
...,5,...,8220.00,SUITE,5
...,20,...,3376.00,SINGLE,20
...,15,...,4876.00,DOUBLE,15
...,5,...,8376.00,SUITE,5
...,20,...,5500.00,SINGLE,20
...,15,...,7000.00,DOUBLE,15
...,5,...,10500.00,SUITE,5
...,20,...,3380.00,SINGLE,20
...,15,...,4880.00,DOUBLE,15
...,5,...,8380.00,SUITE,5
...,20,...,5245.00,SINGLE,20
...,15,...,6745.00,DOUBLE,15
...,5,...,10245.00,SUITE,5
...,20,...,4500.00,SINGLE,20
...,15,...,6000.00,DOUBLE,15
...,5,...,9500.00,SUITE,5
...,20,...,4750.00,SINGLE,20
...,15,...,6250.00,DOUBLE,15
...,5,...,9750.00,SUITE,5
...,3,...,4050.00,DOUBLE,3
...,20,...,2700.00,SINGLE,20
...,15,...,4200.00,DOUBLE,15
...,5,...,7700.00,SUITE,5
...,20,...,2500.00,SINGLE,20
...,15,...,4000.00,DOUBLE,15
...,5,...,7500.00,SUITE,5
...,20,...,2150.00,SINGLE,20
